input,target
тилеймин,тілеймін
табигат,табиғат
апатынын,апатының
зардаптарын,зардаптарын
жоюга,жоюға
деп,деп
айтындаршы,айтыңдаршы
шоп,шөп
комек,көмек
сонда,сонда
шаруаларын,шаруаларың
бара,бара
жатыр,жатыр
еркеги,еркегі
де,де
сондай,сондай
адеттерин,әдеттерің
бар,бар
екенин,екенін
сыртында,сыртында
бори,бөрі
жалгыз,жалғыз
анам,анам
акшасы,ақшасы
тукке,түкке
жетпейды,жетпейді
укиметтен,үкіметтен
уй,үй
жардем,жәрдем
аяк,аяқ
астында,астында
деген,деген
созди,сөзді
керегы,керегі
тапканын,тапқанын
аш,аш
болсан,болсаң
карамайды,қарамайды
саган,саған
сол,сол
найманын,найманың
каристер,кәрістер
сиякты,сияқты
ар,әр
iстi,істі
аркалай,әрқалай
карау,қарау
керексiздер,керексіздер
шаш,шаш
ал,ал
десе,десе
бас,бас
ала,ала
бермей,бермей
баленбай,бәленбай
жыл,жыл
жеримиз,жеріміз
аман,аман
болады,болады
багытталган,бағытталған
кунин,күнін
тойлаймыз,тойлаймыз
гой,ғой
курметине,құрметіне
миндетти,міндетті
турде,түрде
ресейди,ресейді
косамыз,қосамыз
онсыз,онсыз
тамактан,тамақтан
ас,ас
корсетпей,көрсетпей
отпейди,өтпейді
анык,анық
полиция,полиция
кызметкерлеринин,қызметкерлерінің
катысы,қатысы
казакша,қазақша
ойлеп,сөйлеп
алсын,алсын
арине,әрине
соны,соны
блем,білемін
адам,адам
баласынын,баласының
бир,бір
кундик,күндік
омири,өмірі
ушин,үшін
сананын,сананың
томендигинен,төмендігінен
табигатка,табиғатқа
келтирер,келтірер
жауыздыгы,жауыздығы
олшеусиз,өлшеусіз
сезымге,сезімге
берыледы,беріледі
аягы,аяғы
оте,өте
дурыс,дұрыс
жагын,жағын
пал,пал
ашып,ашып
билип,біліп
аламыз,аламыз
еды,еді
онын,оның
орнында,орнында
мына,мына
макалада,мақалада
баска,басқа
кунде,күнде
жузбаева,жүзбаева
кутылып,құтылып
орнына,орнына
барып,барып
тиркету,тіркету
керек,керек
ол,ол
кандай,қандай
назик,нәзік
азамат,азамат
агасы,ағасы
биз,біз
зарлы,зарлы
хаттарын,хаттарың
не,не
жумактан,жұмақтан
орын,орын
алам,аламын
дамеленип,дәмеленіп
болып,болып
айели,әйелі
калгандарынын,қалғандарының
бари,бәрі
периште,періште
болды,болды
ма,ма
неге,неге
ози,өзі
шырылдап,шырылдап
тур,тұр
жургеннен,жүргеннен
жауып,жауып
жамылып,жамылып
журген,жүрген
əйелдеры,әйелдері
быр,бір
бырын,бірін
жамандап,жамандап
туа,туа
алмай,алмай
ауылды,ауылды
жерде,жерде
жылкы,жылқы
сиыр,сиыр
урлыгына,ұрлығына
полициянын,полицияның
катысуымен,қатысуымен
котерледы,көтеріледі
арабтарга,арабтарға
отырсын,отырсың
тек,тек
кинодан,кинодан
коретин,көретін
ек,едік
мынау,мынау
адамдар,адамдар
жок,жоқ
болгасын,болғасын
жинаган,жинаған
жанды,жанды
ер,ер
окка,оққа
ушып,ұшып
бакилык,бақилық
болган,болған
болмайма,болмай
жумактын,жұмақтың
есиги,есігі
болсын,болсын
бакытты,бақытты
гумыр,ғұмыр
берсин,берсін
аллам,аллам
бiздi,бізді
орыс,орыс
айдап,айдап
кету,кету
тенын,теңің
журмейсын,жүрмейсің
ерке,ерке
ешкашан,ешқашан
биздин,біздің
казактын,қазақтың
усталды,ұсталды
жазылган,жазылған
боларын,боларын
былмид,білмейді
бакыты,бақытты
бол,бол
алланын,алланың
шоу,шоу
сени,сені
найман,найман
отсындарго,отырсыңдар
отирик,өтірік
кыздарын,қыздарың
кошеде,көшеде
коз,көз
жаска,жасқа
кетерин,кетерін
сизди,сізді
мактаныш,мақтаныш
турсынбек,тұрсынбек
намыстарын,намыстарың
билеик,білейік
мейли,мейлі
алынган,алынған
акшаны,ақшаны
иесине,иесіне
